employee_id,src_ip,dest_ip,src_port,dest_port,timestamp,protocol,packet_length
4,192.168.1.17,10.0.0.1,1068,1062,2024-08-06 20:31:59.358142,TCP,363
13,192.168.1.13,10.60.0.2,1061,1036,2024-08-06 23:36:10.358142,TCP,1277
5,192.168.1.19,10.0.70.4,1076,1035,2024-08-06 18:57:10.358142,UDP,456
7,192.168.1.23,10.0.0.5,1011,1074,2024-08-07 09:57:07.358142,UDP,1022
15,192.168.1.14,10.0.0.5,1089,1041,2024-08-07 08:54:49.358142,TCP,1305
10,192.168.1.18,203.0.113.10,1077,1049,2024-08-07 12:19:34.358142,TCP,893
1,192.168.1.12,203.0.113.20,1071,1094,2024-08-06 16:21:34.358142,TCP,764
4,192.168.1.14,10.0.0.8,1004,1074,2024-08-06 14:57:56.358142,UDP,1464
14,192.168.1.17,203.0.113.20,1028,1067,2024-08-07 13:53:10.358142,TCP,1384
10,192.168.1.12,10.0.0.7,1077,1092,2024-08-06 16:19:48.358142,UDP,926
6,192.168.1.23,198.51.100.10,1069,1008,2024-08-06 21:41:12.358142,TCP,437
7,192.168.1.12,198.51.100.10,1057,1055,2024-08-07 14:36:56.358142,UDP,536
7,192.168.1.19,203.0.113.15,1006,1018,2024-08-07 00:05:33.358142,UDP,1336
2,192.168.1.23,10.0.70.4,1031,1002,2024-08-06 15:53:41.358142,TCP,723
7,192.168.1.15,203.0.113.20,1040,1043,2024-08-07 01:51:54.358142,TCP,552
12,192.168.1.18,10.0.0.3,1013,1042,2024-08-07 08:28:38.358142,TCP,919
5,192.168.1.15,10.0.20.6,1043,1072,2024-08-07 09:43:26.358142,UDP,671
14,192.168.1.17,203.0.113.10,1091,1075,2024-08-07 08:10:46.358142,TCP,960
11,192.168.1.13,10.0.0.3,1046,1000,2024-08-07 06:02:02.358142,TCP,655
12,192.168.1.19,203.0.113.15,1046,1096,2024-08-06 15:34:04.358142,TCP,270
6,192.168.1.23,10.60.0.2,1037,1065,2024-08-07 02:23:30.358142,UDP,937
12,192.168.1.15,10.0.0.1,1018,1075,2024-08-07 03:37:17.358142,TCP,654
3,192.168.1.10,10.0.70.4,1037,1067,2024-08-07 14:05:28.358142,UDP,133
14,192.168.1.19,198.51.100.15,1023,1098,2024-08-06 17:10:30.358142,TCP,1361
9,192.168.1.24,203.0.113.10,1005,1055,2024-08-06 20:06:11.358142,UDP,1008
6,192.168.1.14,10.60.0.2,1004,1045,2024-08-06 16:18:00.358142,UDP,360
4,192.168.1.23,203.0.113.15,1008,1052,2024-08-07 01:30:33.358142,TCP,1285
10,192.168.1.23,10.0.0.1,1072,1065,2024-08-06 19:22:49.358142,TCP,1437
15,192.168.1.21,198.51.10.20,1021,1097,2024-08-06 17:58:06.358142,UDP,829
3,192.168.1.18,10.0.70.4,1088,1094,2024-08-07 09:50:38.358142,TCP,1499
10,192.168.1.13,10.0.0.3,1090,1070,2024-08-07 03:33:16.358142,TCP,931
8,192.168.1.12,10.0.70.4,1040,1090,2024-08-07 03:00:47.358142,TCP,594
1,192.168.1.21,10.0.20.6,1097,1069,2024-08-07 01:29:39.358142,UDP,102
6,192.168.1.23,198.51.100.10,1029,1052,2024-08-07 11:55:22.358142,UDP,1219
7,192.168.1.24,10.0.20.6,1027,1045,2024-08-07 06:27:39.358142,TCP,656
12,192.168.1.13,10.0.0.7,1058,1044,2024-08-07 06:06:54.358142,TCP,1310
9,192.168.1.16,10.0.0.3,1049,1066,2024-08-06 19:07:09.358142,TCP,493
1,192.168.1.13,10.0.0.1,1013,1016,2024-08-06 19:05:42.358142,TCP,1240
7,192.168.1.22,10.0.0.5,1079,1023,2024-08-07 12:05:32.358142,UDP,224
7,192.168.1.10,10.0.0.5,1064,1093,2024-08-07 11:40:44.358142,UDP,559
4,192.168.1.15,203.0.113.20,1036,1037,2024-08-07 05:03:46.358142,TCP,292
4,192.168.1.22,203.0.113.20,1096,1021,2024-08-07 08:39:21.358142,TCP,1235
5,192.168.1.21,198.51.10.5,1032,1045,2024-08-07 05:58:06.358142,UDP,830
3,192.168.1.10,198.51.100.10,1066,1093,2024-08-07 03:06:34.358142,UDP,1406
4,192.168.1.16,10.0.0.5,1023,1049,2024-08-07 02:02:14.358142,TCP,1235
3,192.168.1.24,10.0.0.3,1048,1048,2024-08-07 07:44:12.358142,TCP,1281
13,192.168.1.18,10.0.20.6,1078,1075,2024-08-07 09:13:34.358142,TCP,1364
5,192.168.1.18,10.60.0.2,1051,1098,2024-08-07 11:48:02.358142,UDP,351
8,192.168.1.22,198.51.100.10,1048,1001,2024-08-06 22:56:58.358142,TCP,590
8,192.168.1.12,203.0.113.10,1080,1056,2024-08-07 10:02:45.358142,UDP,1275
1,192.168.1.11,203.0.113.15,1004,1039,2024-08-06 21:17:54.358142,TCP,811
12,192.168.1.13,198.51.10.5,1021,1069,2024-08-07 03:11:45.358142,UDP,504
8,192.168.1.15,10.0.0.1,1078,1057,2024-08-06 17:04:39.358142,UDP,725
8,192.168.1.15,203.0.113.20,1092,1021,2024-08-07 12:14:45.358142,TCP,1275
6,192.168.1.20,10.0.0.8,1056,1088,2024-08-06 23:45:15.358142,UDP,297
15,192.168.1.21,198.51.10.5,1039,1060,2024-08-07 07:33:26.358142,UDP,465
13,192.168.1.18,198.51.100.10,1041,1000,2024-08-07 09:59:40.358142,TCP,1019
15,192.168.1.14,198.51.10.20,1049,1026,2024-08-06 18:03:43.358142,TCP,971
2,192.168.1.12,10.0.0.7,1034,1095,2024-08-07 14:13:23.358142,TCP,721
15,192.168.1.17,198.51.10.20,1016,1059,2024-08-07 07:43:23.358142,UDP,79
15,192.168.1.14,203.0.113.15,1061,1007,2024-08-07 02:50:13.358142,UDP,562
12,192.168.1.19,203.0.113.20,1048,1005,2024-08-07 03:21:56.358142,UDP,389
11,192.168.1.24,10.0.0.7,1077,1021,2024-08-07 11:20:51.358142,UDP,936
10,192.168.1.13,203.0.113.10,1082,1090,2024-08-06 15:20:42.358142,TCP,344
15,192.168.1.17,198.51.10.20,1084,1099,2024-08-07 00:58:32.358142,TCP,1085
14,192.168.1.11,10.0.0.7,1033,1096,2024-08-07 08:42:48.358142,UDP,644
4,192.168.1.21,10.0.70.4,1031,1018,2024-08-06 21:43:27.358142,TCP,253
15,192.168.1.11,203.0.113.10,1003,1009,2024-08-07 09:27:16.358142,TCP,1122
13,192.168.1.20,203.0.113.15,1096,1084,2024-08-07 05:34:32.358142,TCP,757
11,192.168.1.24,10.0.0.5,1072,1090,2024-08-06 21:45:31.358142,UDP,567
4,192.168.1.17,10.0.0.1,1062,1012,2024-08-07 12:50:31.358142,TCP,888
14,192.168.1.13,10.0.0.3,1098,1035,2024-08-07 00:28:50.358142,UDP,980
11,192.168.1.16,203.0.113.10,1089,1060,2024-08-07 06:59:56.358142,UDP,828
1,192.168.1.19,203.0.113.10,1069,1059,2024-08-06 18:17:11.358142,TCP,131
12,192.168.1.17,10.0.0.5,1075,1061,2024-08-07 08:21:01.358142,UDP,1219
12,192.168.1.17,198.51.100.10,1095,1040,2024-08-06 19:10:46.358142,TCP,1435
4,192.168.1.22,10.0.0.1,1065,1036,2024-08-06 17:52:36.358142,TCP,793
7,192.168.1.17,203.0.113.20,1062,1067,2024-08-07 02:06:46.358142,UDP,474
3,192.168.1.20,198.51.10.20,1018,1079,2024-08-07 02:54:30.358142,UDP,1314
12,192.168.1.12,10.0.0.8,1031,1035,2024-08-06 19:53:04.358142,TCP,487
9,192.168.1.16,10.0.20.6,1009,1022,2024-08-06 20:36:51.358142,TCP,722
10,192.168.1.22,198.51.10.5,1099,1030,2024-08-06 22:21:04.358142,TCP,908
13,192.168.1.11,198.51.100.10,1096,1092,2024-08-06 21:54:10.358142,TCP,1184
5,192.168.1.13,203.0.113.10,1054,1030,2024-08-06 19:12:31.358142,UDP,1207
5,192.168.1.22,198.51.10.5,1030,1022,2024-08-07 06:10:46.358142,TCP,425
1,192.168.1.20,10.60.0.2,1025,1083,2024-08-07 08:07:56.358142,UDP,1121
8,192.168.1.20,10.60.0.2,1071,1092,2024-08-06 21:33:24.358142,UDP,71
14,192.168.1.12,198.51.100.10,1085,1056,2024-08-07 08:08:15.358142,UDP,464
4,192.168.1.12,198.51.100.10,1055,1040,2024-08-07 09:12:17.358142,UDP,1436
9,192.168.1.14,203.0.113.20,1058,1089,2024-08-06 23:33:45.358142,TCP,124
12,192.168.1.10,198.51.10.5,1024,1021,2024-08-06 16:10:59.358142,UDP,224
14,192.168.1.19,10.0.0.5,1085,1027,2024-08-06 16:10:46.358142,TCP,1162
10,192.168.1.23,10.0.0.5,1007,1006,2024-08-07 10:02:15.358142,UDP,108
2,192.168.1.13,10.0.0.3,1098,1052,2024-08-07 03:42:28.358142,TCP,420
13,192.168.1.23,203.0.113.20,1067,1027,2024-08-07 02:33:53.358142,UDP,1211
11,192.168.1.18,198.51.10.20,1071,1062,2024-08-06 22:22:54.358142,TCP,797
1,192.168.1.17,198.51.100.15,1026,1002,2024-08-06 20:08:47.358142,UDP,96
2,192.168.1.16,203.0.113.10,1070,1085,2024-08-07 11:22:13.358142,UDP,473
3,192.168.1.11,198.51.10.5,1064,1014,2024-08-07 10:56:29.358142,TCP,560
2,192.168.1.16,10.0.0.8,1015,1026,2024-08-07 09:58:03.358142,UDP,349
4,192.168.1.21,203.0.113.10,1087,1052,2024-08-07 09:49:40.358142,UDP,1365
2,192.168.1.18,10.0.0.7,1081,1055,2024-08-07 10:28:59.358142,TCP,308
9,192.168.1.21,10.0.0.5,1038,1011,2024-08-07 11:15:05.358142,TCP,1246
15,192.168.1.10,10.0.0.5,1065,1071,2024-08-07 10:03:29.358142,UDP,464
9,192.168.1.13,198.51.100.15,1019,1000,2024-08-06 18:39:30.358142,UDP,895
5,192.168.1.19,10.0.0.8,1084,1072,2024-08-07 10:02:42.358142,TCP,1083
8,192.168.1.16,10.0.0.3,1048,1084,2024-08-06 17:55:57.358142,UDP,1358
14,192.168.1.10,10.0.0.5,1017,1094,2024-08-07 03:38:01.358142,TCP,1145
4,192.168.1.16,10.0.0.7,1008,1075,2024-08-06 19:06:02.358142,UDP,691
9,192.168.1.18,10.0.0.5,1006,1092,2024-08-06 18:09:23.358142,TCP,1359
10,192.168.1.21,198.51.10.20,1022,1084,2024-08-07 12:34:12.358142,TCP,265
9,192.168.1.22,10.0.20.6,1090,1008,2024-08-07 03:35:29.358142,UDP,877
5,192.168.1.18,203.0.113.15,1079,1094,2024-08-06 23:17:24.358142,UDP,1331
4,192.168.1.10,203.0.113.15,1026,1034,2024-08-07 12:43:10.358142,UDP,723
10,192.168.1.23,10.0.70.4,1046,1088,2024-08-07 07:46:25.358142,UDP,970
6,192.168.1.22,198.51.10.5,1025,1065,2024-08-07 00:32:33.358142,UDP,1002
13,192.168.1.23,10.0.0.8,1004,1061,2024-08-06 16:17:49.358142,TCP,1245
4,192.168.1.23,10.0.70.4,1019,1090,2024-08-07 13:19:14.358142,UDP,1224
6,192.168.1.15,198.51.10.5,1091,1011,2024-08-06 19:08:07.358142,UDP,485
10,192.168.1.11,203.0.113.15,1037,1034,2024-08-07 10:28:46.358142,TCP,459
10,192.168.1.10,203.0.113.15,1058,1014,2024-08-07 00:14:30.358142,UDP,973
5,192.168.1.22,10.0.0.7,1092,1052,2024-08-07 07:52:33.358142,UDP,1319
7,192.168.1.12,10.0.70.4,1044,1063,2024-08-06 21:20:52.358142,TCP,1341
7,192.168.1.10,203.0.113.10,1001,1034,2024-08-06 21:17:41.358142,UDP,633
9,192.168.1.15,10.0.0.1,1076,1061,2024-08-06 20:30:19.358142,TCP,209
6,192.168.1.23,198.51.10.5,1075,1018,2024-08-07 08:10:20.358142,UDP,1098
14,192.168.1.12,198.51.100.15,1064,1002,2024-08-07 13:03:19.358142,UDP,228
5,192.168.1.24,203.0.113.10,1001,1049,2024-08-07 05:32:52.358142,TCP,355
6,192.168.1.17,203.0.113.15,1085,1018,2024-08-07 05:31:17.358142,UDP,861
3,192.168.1.15,10.0.0.5,1015,1002,2024-08-07 03:12:48.358142,TCP,274
3,192.168.1.22,203.0.113.20,1018,1018,2024-08-07 02:38:28.358142,UDP,466
4,192.168.1.23,10.60.0.2,1061,1096,2024-08-06 19:59:09.358142,UDP,905
2,192.168.1.17,203.0.113.10,1038,1065,2024-08-06 19:12:28.358142,TCP,1245
1,192.168.1.11,198.51.100.15,1038,1069,2024-08-07 12:35:50.358142,UDP,1446
6,192.168.1.18,10.0.0.3,1008,1054,2024-08-06 17:16:31.358142,UDP,1416
14,192.168.1.13,10.0.70.4,1080,1014,2024-08-07 01:29:53.358142,TCP,905
4,192.168.1.14,10.0.0.3,1021,1086,2024-08-07 09:49:11.358142,UDP,700
9,192.168.1.14,10.0.70.4,1047,1067,2024-08-06 15:18:26.358142,UDP,1205
1,192.168.1.20,198.51.100.15,1005,1089,2024-08-06 18:38:49.358142,TCP,1315
9,192.168.1.10,10.60.0.2,1085,1054,2024-08-06 19:57:59.358142,UDP,987
2,192.168.1.14,10.0.0.8,1061,1076,2024-08-06 20:53:47.358142,UDP,559
14,192.168.1.16,10.0.20.6,1061,1027,2024-08-07 07:24:50.358142,UDP,1313
13,192.168.1.20,10.0.0.3,1059,1084,2024-08-07 07:07:43.358142,UDP,119
5,192.168.1.21,10.0.0.7,1019,1056,2024-08-07 13:25:52.358142,UDP,507
11,192.168.1.16,203.0.113.20,1072,1051,2024-08-07 07:36:31.358142,UDP,969
13,192.168.1.19,198.51.10.20,1029,1035,2024-08-06 23:05:43.358142,UDP,978
10,192.168.1.18,10.0.0.5,1039,1072,2024-08-07 12:45:55.358142,UDP,278
2,192.168.1.12,203.0.113.15,1011,1025,2024-08-06 23:31:40.358142,UDP,1341
3,192.168.1.17,203.0.113.20,1092,1054,2024-08-07 06:29:08.358142,TCP,121
14,192.168.1.24,10.0.0.3,1006,1007,2024-08-06 16:35:46.358142,TCP,271
13,192.168.1.22,10.0.20.6,1093,1032,2024-08-07 10:44:49.358142,TCP,859
1,192.168.1.23,10.0.0.8,1037,1015,2024-08-07 11:31:11.358142,UDP,336
4,192.168.1.17,203.0.113.20,1048,1085,2024-08-07 01:29:06.358142,UDP,506
2,192.168.1.15,198.51.10.5,1023,1030,2024-08-07 12:10:19.358142,TCP,892
12,192.168.1.17,10.0.20.6,1035,1081,2024-08-07 07:37:54.358142,TCP,1144
2,192.168.1.18,198.51.10.20,1029,1095,2024-08-07 12:43:33.358142,TCP,1162
15,192.168.1.10,203.0.113.15,1067,1018,2024-08-07 00:07:20.358142,UDP,1237
8,192.168.1.18,198.51.10.5,1081,1087,2024-08-06 19:54:51.358142,TCP,1188
6,192.168.1.16,203.0.113.15,1050,1004,2024-08-07 02:13:30.358142,TCP,557
15,192.168.1.10,198.51.100.10,1094,1049,2024-08-06 19:59:24.358142,TCP,1003
5,192.168.1.22,10.0.0.3,1011,1044,2024-08-06 19:56:54.358142,TCP,947
15,192.168.1.14,10.0.0.8,1079,1056,2024-08-06 16:19:28.358142,UDP,1413
13,192.168.1.24,10.0.70.4,1045,1062,2024-08-07 04:04:03.358142,TCP,1307
8,192.168.1.12,10.0.0.8,1040,1048,2024-08-07 03:24:53.358142,UDP,753
8,192.168.1.24,203.0.113.10,1069,1095,2024-08-06 17:52:18.358142,UDP,481
1,192.168.1.17,10.0.0.3,1088,1001,2024-08-07 14:49:53.358142,TCP,1460
12,192.168.1.24,10.0.0.8,1067,1077,2024-08-06 17:47:42.358142,UDP,1319
5,192.168.1.21,198.51.10.5,1082,1075,2024-08-07 10:19:42.358142,UDP,1347
9,192.168.1.11,203.0.113.10,1067,1021,2024-08-07 14:49:24.358142,UDP,1404
8,192.168.1.10,10.0.20.6,1013,1070,2024-08-06 17:17:22.358142,TCP,671
14,192.168.1.20,10.0.0.7,1067,1066,2024-08-07 03:04:45.358142,TCP,1210
15,192.168.1.14,10.0.0.7,1080,1032,2024-08-07 10:13:16.358142,UDP,1513
5,192.168.1.11,10.0.0.1,1001,1083,2024-08-06 18:34:36.358142,TCP,1130
15,192.168.1.16,198.51.10.20,1063,1007,2024-08-07 03:56:24.358142,UDP,353
15,192.168.1.19,203.0.113.10,1068,1088,2024-08-07 13:59:25.358142,TCP,706
11,192.168.1.21,198.51.10.5,1053,1046,2024-08-06 22:22:09.358142,UDP,928
2,192.168.1.20,10.0.20.6,1028,1083,2024-08-07 07:49:49.358142,UDP,986
12,192.168.1.13,10.0.0.3,1083,1062,2024-08-07 09:21:00.358142,TCP,142
2,192.168.1.13,10.60.0.2,1015,1063,2024-08-06 15:48:22.358142,UDP,854
9,192.168.1.20,10.0.0.7,1093,1041,2024-08-07 00:29:13.358142,TCP,1148
6,192.168.1.24,203.0.113.15,1000,1018,2024-08-07 11:23:50.358142,TCP,1344
3,192.168.1.20,198.51.100.15,1052,1099,2024-08-06 23:48:15.358142,TCP,659
10,192.168.1.20,203.0.113.10,1032,1038,2024-08-06 21:09:02.358142,UDP,473
15,192.168.1.23,198.51.10.20,1014,1008,2024-08-07 03:16:09.358142,TCP,613
8,192.168.1.18,203.0.113.15,1061,1010,2024-08-07 01:12:20.358142,TCP,1477
11,192.168.1.17,198.51.10.20,1089,1072,2024-08-07 13:15:45.358142,UDP,1091
4,192.168.1.13,10.60.0.2,1058,1065,2024-08-07 00:16:52.358142,TCP,1114
13,192.168.1.22,10.0.20.6,1073,1052,2024-08-07 10:01:01.358142,UDP,1056
4,192.168.1.24,10.0.0.7,1098,1002,2024-08-07 03:24:07.358142,UDP,1237
15,192.168.1.12,198.51.10.20,1004,1082,2024-08-06 22:11:34.358142,TCP,943
11,192.168.1.12,10.0.0.8,1082,1076,2024-08-07 10:08:47.358142,TCP,404
14,192.168.1.15,198.51.100.10,1000,1039,2024-08-06 21:37:09.358142,UDP,1322
2,192.168.1.10,10.60.0.2,1075,1092,2024-08-06 22:20:38.358142,UDP,77
10,192.168.1.21,10.0.0.1,1081,1069,2024-08-07 02:06:51.358142,UDP,604
2,192.168.1.23,10.0.0.3,1084,1061,2024-08-06 15:59:50.358142,UDP,513
10,192.168.1.15,203.0.113.15,1066,1048,2024-08-06 17:39:50.358142,TCP,1200
11,192.168.1.14,198.51.10.5,1070,1048,2024-08-07 09:55:27.358142,UDP,769
2,192.168.1.23,203.0.113.10,1043,1020,2024-08-07 12:43:43.358142,TCP,168
13,192.168.1.10,10.0.0.3,1085,1011,2024-08-07 02:59:33.358142,UDP,357
15,192.168.1.18,198.51.10.5,1061,1037,2024-08-07 12:49:48.358142,UDP,576
7,192.168.1.19,10.0.0.1,1062,1053,2024-08-07 10:30:58.358142,UDP,745
7,192.168.1.14,10.60.0.2,1083,1035,2024-08-07 09:40:27.358142,TCP,1331
6,192.168.1.15,10.0.0.7,1048,1012,2024-08-07 08:44:31.358142,TCP,585
10,192.168.1.17,203.0.113.10,1049,1006,2024-08-06 21:47:58.358142,UDP,1095
11,192.168.1.18,203.0.113.15,1017,1017,2024-08-07 05:14:24.358142,TCP,500
12,192.168.1.15,198.51.10.5,1052,1058,2024-08-07 05:15:39.358142,TCP,1089
12,192.168.1.16,198.51.100.15,1099,1071,2024-08-07 08:09:53.358142,UDP,785
15,192.168.1.20,10.0.70.4,1081,1016,2024-08-07 05:57:46.358142,TCP,707
6,192.168.1.18,10.0.0.3,1081,1034,2024-08-07 09:23:47.358142,TCP,265
6,192.168.1.13,198.51.10.20,1080,1067,2024-08-07 08:45:55.358142,UDP,1022
4,192.168.1.22,203.0.113.15,1083,1003,2024-08-06 16:08:49.358142,TCP,377
12,192.168.1.17,198.51.100.10,1008,1024,2024-08-06 20:40:58.358142,UDP,850
3,192.168.1.24,203.0.113.10,1005,1061,2024-08-07 04:41:46.358142,TCP,1028
2,192.168.1.21,203.0.113.20,1077,1040,2024-08-06 20:32:10.358142,UDP,81
6,192.168.1.20,203.0.113.20,1044,1092,2024-08-07 07:39:16.358142,UDP,1071
9,192.168.1.22,10.0.0.5,1021,1057,2024-08-06 20:37:18.358142,TCP,198
5,192.168.1.13,10.0.20.6,1033,1096,2024-08-07 01:27:27.358142,TCP,634
6,192.168.1.12,10.0.0.7,1077,1081,2024-08-07 03:23:51.358142,UDP,895
15,192.168.1.22,10.0.0.7,1066,1015,2024-08-06 17:10:23.358142,UDP,886
12,192.168.1.11,198.51.10.20,1009,1016,2024-08-07 02:29:44.358142,TCP,396
1,192.168.1.21,10.0.0.7,1077,1057,2024-08-06 19:30:01.358142,UDP,1023
15,192.168.1.15,203.0.113.10,1073,1034,2024-08-07 05:55:16.358142,UDP,415
4,192.168.1.24,10.0.20.6,1056,1014,2024-08-06 17:16:57.358142,TCP,1259
3,192.168.1.22,203.0.113.10,1032,1093,2024-08-07 13:19:25.358142,UDP,367
4,192.168.1.17,203.0.113.20,1002,1060,2024-08-06 19:03:45.358142,UDP,413
4,192.168.1.14,10.0.20.6,1091,1071,2024-08-07 00:50:36.358142,UDP,312
1,192.168.1.21,10.0.70.4,1050,1092,2024-08-06 21:39:53.358142,TCP,127
4,192.168.1.13,203.0.113.20,1012,1099,2024-08-07 08:20:02.358142,UDP,1194
14,192.168.1.21,203.0.113.10,1015,1026,2024-08-07 06:58:42.358142,UDP,1275
10,192.168.1.17,10.0.70.4,1061,1049,2024-08-07 08:13:51.358142,UDP,1060
15,192.168.1.19,198.51.100.10,1002,1039,2024-08-07 03:32:27.358142,TCP,395
11,192.168.1.13,203.0.113.20,1009,1079,2024-08-07 14:29:21.358142,UDP,1300
7,192.168.1.14,10.0.0.8,1026,1034,2024-08-06 20:20:53.358142,UDP,1326
15,192.168.1.24,10.0.0.3,1041,1097,2024-08-06 20:21:51.358142,TCP,416
5,192.168.1.23,203.0.113.10,1034,1065,2024-08-06 17:30:35.358142,UDP,959
15,192.168.1.24,10.0.20.6,1074,1052,2024-08-06 19:16:56.358142,TCP,607
7,192.168.1.24,10.0.0.7,1022,1090,2024-08-06 23:07:47.358142,UDP,381
5,192.168.1.23,10.0.0.3,1051,1010,2024-08-07 08:14:26.358142,TCP,1008
7,192.168.1.14,198.51.10.20,1031,1090,2024-08-06 20:15:17.358142,TCP,982
6,192.168.1.24,10.0.0.7,1041,1072,2024-08-06 22:07:12.358142,TCP,1368
4,192.168.1.11,10.0.0.1,1058,1068,2024-08-06 18:23:30.358142,TCP,1325
15,192.168.1.17,203.0.113.10,1085,1003,2024-08-07 03:31:53.358142,TCP,512
6,192.168.1.10,203.0.113.20,1083,1099,2024-08-06 21:24:15.358142,UDP,77
12,192.168.1.14,10.0.0.3,1012,1008,2024-08-07 03:55:48.358142,UDP,588
6,192.168.1.21,10.0.0.3,1040,1075,2024-08-07 10:35:10.358142,TCP,1188
9,192.168.1.22,198.51.100.15,1053,1093,2024-08-07 00:42:27.358142,TCP,688
13,192.168.1.18,10.0.0.5,1062,1017,2024-08-06 17:42:57.358142,TCP,145
14,192.168.1.15,203.0.113.20,1036,1001,2024-08-07 00:19:59.358142,TCP,1272
10,192.168.1.23,10.0.70.4,1002,1034,2024-08-06 18:20:22.358142,UDP,1127
13,192.168.1.24,10.0.0.1,1025,1072,2024-08-06 19:41:47.358142,TCP,1432
11,192.168.1.11,10.0.0.5,1074,1086,2024-08-07 03:24:00.358142,TCP,1099
6,192.168.1.24,10.0.0.8,1019,1060,2024-08-07 03:44:56.358142,UDP,559
3,192.168.1.23,203.0.113.10,1030,1042,2024-08-07 09:55:06.358142,TCP,1100
10,192.168.1.18,198.51.100.15,1032,1037,2024-08-07 03:17:31.358142,UDP,503
8,192.168.1.17,203.0.113.15,1069,1096,2024-08-06 15:34:45.358142,TCP,957
15,192.168.1.14,198.51.100.15,1050,1036,2024-08-07 02:34:37.358142,UDP,528
5,192.168.1.16,10.0.0.1,1082,1043,2024-08-07 05:37:49.358142,TCP,1109
2,192.168.1.14,203.0.113.15,1055,1018,2024-08-07 14:12:52.358142,TCP,1417
8,192.168.1.13,10.0.20.6,1004,1066,2024-08-07 13:26:03.358142,TCP,1113
13,192.168.1.13,203.0.113.15,1008,1036,2024-08-06 15:47:40.358142,TCP,286
9,192.168.1.21,203.0.113.15,1095,1057,2024-08-07 01:51:39.358142,TCP,104
13,192.168.1.10,198.51.10.20,1035,1070,2024-08-07 03:25:11.358142,UDP,908
7,192.168.1.20,10.0.20.6,1020,1045,2024-08-07 04:03:14.358142,TCP,462
5,192.168.1.10,203.0.113.10,1087,1036,2024-08-06 15:06:07.358142,UDP,854
11,192.168.1.21,198.51.10.20,1057,1049,2024-08-07 13:31:15.358142,UDP,331
12,192.168.1.22,203.0.113.15,1002,1081,2024-08-07 07:00:19.358142,UDP,234
6,192.168.1.23,203.0.113.15,1063,1067,2024-08-06 23:50:12.358142,UDP,395
5,192.168.1.20,203.0.113.10,1075,1071,2024-08-07 04:06:43.358142,TCP,300
4,192.168.1.14,10.0.0.1,1079,1024,2024-08-07 09:14:00.358142,TCP,583
14,192.168.1.15,198.51.10.20,1043,1001,2024-08-06 16:55:28.358142,UDP,711
1,192.168.1.13,10.0.0.7,1067,1089,2024-08-07 04:26:36.358142,UDP,385
12,192.168.1.15,10.0.20.6,1050,1028,2024-08-07 13:05:51.358142,TCP,351
7,192.168.1.10,10.0.0.1,1069,1061,2024-08-06 21:09:22.358142,TCP,996
8,192.168.1.14,10.0.0.8,1055,1085,2024-08-07 04:36:19.358142,TCP,1110
14,192.168.1.24,198.51.100.10,1045,1053,2024-08-07 03:54:13.358142,TCP,332
